Dealer ID,Dealer Name,Dealer Number,Dealer Comment,Dealer Address,Dealer City,Dealer State,dealer Iframe Map,Zip Code,Detail URL,Image From URL,Local Image URL,Title,Year,Make,Model,Vin,Price,Miles,Type,Model No,Trim,Stock,Engine Details,Transmission,Body Description,Fuel,Drive Info,MPG City,MPG Highway,Exterior Color,Star,Created Date,Batch No,Dealer Link,Monthly Pay,In Market,MPG,Interior Color,Drivetrain,Status,Dealer Inventory Count
CG-241000,GoAuto,3462302835,Navigation System · Premium Wheels,"1502 W 34th St
Houston, TX 77018 Map & directions
https://www.GOAUTOTX.COM
Sales: (346) 230-2835",Houston,TX,,77018,https://www.cargurus.com/Cars/m-GoAuto-sp411151#listing=378556045/NONE/DEFAULT,https://static.cargurus.com/images/forsale/2024/02/15/05/44/2013_chevrolet_silverado_1500-pic-8701329315943404667-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,uploads/single_image/2013_Chevrolet_Silverado_1500_LT_Extended_Cab_LB_RWD_1GCRCSE08DZ263924_Kub444.jpg,2013 Chevrolet Silverado 1500 LT Extended Cab LB RWD,2013,Chevrolet,Silverado 1500,1GCRCSE08DZ263924,10900,108001 mi,Used,,LT Extended Cab LB RWD,Kub444,315 hp 5.3L V8 Flex Fuel Vehicle,6-Speed Automatic Overdrive,Pickup Truck,Flex Fuel Vehicle,,,,N/A,,2024-11-16 19:05:00,1,https://www.cargurus.com/Cars/m-GoAuto-sp411151#listing=378556045/NONE/DEFAULT,0,,N/A,N/A,4X2,No Rating,55,N/A
CG-241000,GoAuto,3462302835,Adaptive Cruise Control · Alloy Wheels · & more,"1502 W 34th St
Houston, TX 77018 Map & directions
https://www.GOAUTOTX.COM
Sales: (346) 230-2835",Houston,TX,,77018,https://www.cargurus.com/Cars/m-GoAuto-sp411151#listing=401071586/NONE/DEFAULT,https://static.cargurus.com/images/forsale/2024/11/13/00/43/2024_toyota_camry-pic-6085402813468768183-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,uploads/single_image/2024_Toyota_Camry_SE_FWD_4T1G11AK0RU214165_214165.jpg,2024 Toyota Camry SE FWD,2024,Toyota,Camry,4T1G11AK0RU214165,No Price Listed,1191 mi,Used,,SE FWD,214165,2.5L I4,8-Speed Automatic,Sedan,Gasoline,,,,N/A,,2024-11-16 19:05:12,1,https://www.cargurus.com/Cars/m-GoAuto-sp411151#listing=401071586/NONE/DEFAULT,0,,33 MPG,N/A,Front-Wheel Drive,No Rating,55,New arrival
CG-241000,GoAuto,3462302835,Alloy Wheels · Bluetooth · & more,"1502 W 34th St
Houston, TX 77018 Map & directions
https://www.GOAUTOTX.COM
Sales: (346) 230-2835",Houston,TX,,77018,https://www.cargurus.com/Cars/m-GoAuto-sp411151#listing=393881234/NONE/DEFAULT,https://static.cargurus.com/images/forsale/2024/08/25/00/29/2015_ford_mustang-pic-610004408489184920-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,uploads/single_image/2015_Ford_Mustang_V6_Coupe_RWD_1FA6P8AM4F5369645_WAL58474.jpg,2015 Ford Mustang V6 Coupe RWD,2015,Ford,Mustang,1FA6P8AM4F5369645,12999,44995 mi,Used,,V6 Coupe RWD,WAL58474,300 hp 3.7L V6,6-Speed Automatic,Coupe,Gasoline,,,,N/A,,2024-11-16 19:05:24,1,https://www.cargurus.com/Cars/m-GoAuto-sp411151#listing=393881234/NONE/DEFAULT,0,,23 MPG,N/A,Rear-Wheel Drive,No Rating,55,N/A
CG-241000,GoAuto,3462302835,Leather Seats · Alloy Wheels · & more,"1502 W 34th St
Houston, TX 77018 Map & directions
https://www.GOAUTOTX.COM
Sales: (346) 230-2835",Houston,TX,,77018,https://www.cargurus.com/Cars/m-GoAuto-sp411151#listing=383931853/NONE/DEFAULT,https://static.cargurus.com/images/forsale/2024/04/20/10/31/2016_land_rover_range_rover_evoque-pic-8712598830105083504-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,uploads/single_image/2016_Land_Rover_Range_Rover_Evoque_SE_SALVP2BG1GH080422_SMER44553.jpg,2016 Land Rover Range Rover Evoque SE,2016,Land Rover,Range Rover Evoque,SALVP2BG1GH080422,14999,45456 mi,Used,,SE,SMER44553,240 hp 2L I4,9-Speed Automatic,SUV / Crossover,Gasoline,,,,N/A,,2024-11-16 19:05:37,1,https://www.cargurus.com/Cars/m-GoAuto-sp411151#listing=383931853/NONE/DEFAULT,0,,25 MPG,N/A,All-Wheel Drive,No Rating,55,N/A
CG-241000,GoAuto,3462302835,Leather Seats · Sunroof/Moonroof · & more,"1502 W 34th St
Houston, TX 77018 Map & directions
https://www.GOAUTOTX.COM
Sales: (346) 230-2835",Houston,TX,,77018,https://www.cargurus.com/Cars/m-GoAuto-sp411151#listing=398868793/NONE/DEFAULT,https://static.cargurus.com/images/forsale/2024/10/18/00/42/2012_honda_odyssey-pic-569508575865782491-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,uploads/single_image/2012_Honda_Odyssey_Touring_FWD_5FNRL5H94CB075711_075711.jpg,2012 Honda Odyssey Touring FWD,2012,Honda,Odyssey,5FNRL5H94CB075711,No Price Listed,116188 mi,Used,,Touring FWD,075711,248 hp 3.5L V6,6-Speed Automatic,Minivan,Gasoline,,,,N/A,,2024-11-16 19:05:49,1,https://www.cargurus.com/Cars/m-GoAuto-sp411151#listing=398868793/NONE/DEFAULT,0,,23 MPG,N/A,Front-Wheel Drive,No Rating,55,N/A
CG-241000,GoAuto,3462302835,Alloy Wheels · Bluetooth · & more,"1502 W 34th St
Houston, TX 77018 Map & directions
https://www.GOAUTOTX.COM
Sales: (346) 230-2835",Houston,TX,,77018,https://www.cargurus.com/Cars/m-GoAuto-sp411151#listing=400484577/NONE/DEFAULT,https://static.cargurus.com/images/forsale/2024/11/06/14/16/2019_gmc_acadia-pic-1571211545393923645-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,uploads/single_image/2019_GMC_Acadia_SLT_1_AWD_1GKKNULS5KZ253509_253509.jpg,2019 GMC Acadia SLT-1 AWD,2019,GMC,Acadia,1GKKNULS5KZ253509,No Price Listed,53060 mi,Used,,SLT-1 AWD,253509,310 hp 3.6L V6,6-Speed Automatic,SUV / Crossover,Gasoline,,,,N/A,,2024-11-16 19:06:01,1,https://www.cargurus.com/Cars/m-GoAuto-sp411151#listing=400484577/NONE/DEFAULT,0,,21 MPG,N/A,Four-Wheel Drive,No Rating,55,New arrival
CG-241000,GoAuto,3462302835,Alloy Wheels · Third Row Seating · & more,"1502 W 34th St
Houston, TX 77018 Map & directions
https://www.GOAUTOTX.COM
Sales: (346) 230-2835",Houston,TX,,77018,https://www.cargurus.com/Cars/m-GoAuto-sp411151#listing=399747592/NONE/DEFAULT,https://static.cargurus.com/images/forsale/2024/10/29/00/45/2020_kia_sorento-pic-4609383657152510166-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,uploads/single_image/2020_Kia_Sorento_L_FWD_5XYPG4A30LG685528_685528.jpg,2020 Kia Sorento L FWD,2020,Kia,Sorento,5XYPG4A30LG685528,No Price Listed,35690 mi,Used,,L FWD,685528,185 hp 2.4L I4,6-Speed Automatic Overdrive,SUV / Crossover,Gasoline,,,,N/A,,2024-11-16 19:06:13,1,https://www.cargurus.com/Cars/m-GoAuto-sp411151#listing=399747592/NONE/DEFAULT,0,,N/A,N/A,Front-Wheel Drive,No Rating,55,N/A
CG-241000,GoAuto,3462302835,Alloy Wheels · Bluetooth · & more,"1502 W 34th St
Houston, TX 77018 Map & directions
https://www.GOAUTOTX.COM
Sales: (346) 230-2835",Houston,TX,,77018,https://www.cargurus.com/Cars/m-GoAuto-sp411151#listing=399862349/NONE/DEFAULT,https://static.cargurus.com/images/forsale/2024/10/30/00/27/2018_kia_optima-pic-5600285464905321985-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,uploads/single_image/2018_Kia_Optima_S_5XXGT4L38JG228847_228847.jpg,2018 Kia Optima S,2018,Kia,Optima,5XXGT4L38JG228847,No Price Listed,94371 mi,Used,,S,228847,185 hp 2.4L I4,6-Speed Automatic,Sedan,Gasoline,,,,N/A,,2024-11-16 19:06:25,1,https://www.cargurus.com/Cars/m-GoAuto-sp411151#listing=399862349/NONE/DEFAULT,0,,27 MPG,N/A,Front-Wheel Drive,No Rating,55,N/A
CG-241000,GoAuto,3462302835,Leather Seats · Navigation System · & more,"1502 W 34th St
Houston, TX 77018 Map & directions
https://www.GOAUTOTX.COM
Sales: (346) 230-2835",Houston,TX,,77018,https://www.cargurus.com/Cars/m-GoAuto-sp411151#listing=387172167/NONE/DEFAULT,https://static.cargurus.com/images/forsale/2024/10/30/00/56/2016_ram_1500-pic-9137737208087705628-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,uploads/single_image/2016_RAM_1500_Laramie_Crew_Cab_4WD_1C6RR7NT7GS386849_AbbaskaRam16.jpg,2016 RAM 1500 Laramie Crew Cab 4WD,2016,RAM,1500,1C6RR7NT7GS386849,17500,91000 mi,Used,,Laramie Crew Cab 4WD,AbbaskaRam16,395 hp 5.7L V8,8-Speed Automatic,Pickup Truck,Gasoline,,,,N/A,,2024-11-16 19:06:38,1,https://www.cargurus.com/Cars/m-GoAuto-sp411151#listing=387172167/NONE/DEFAULT,0,,18 MPG,N/A,Four-Wheel Drive,No Rating,55,N/A
CG-241000,GoAuto,3462302835,Navigation System · Alloy Wheels · & more,"1502 W 34th St
Houston, TX 77018 Map & directions
https://www.GOAUTOTX.COM
Sales: (346) 230-2835",Houston,TX,,77018,https://www.cargurus.com/Cars/m-GoAuto-sp411151#listing=393322620/NONE/DEFAULT,https://static.cargurus.com/images/forsale/2024/08/14/02/10/2020_nissan_rogue-pic-2926504563462607137-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,uploads/single_image/2020_Nissan_Rogue_SL_FWD_JN8AT2MT2LW041389_SAF555.jpg,2020 Nissan Rogue SL FWD,2020,Nissan,Rogue,JN8AT2MT2LW041389,13999,61675 mi,Used,,SL FWD,SAF555,170 hp 2.5L I4,Continuously Variable Transmission,SUV / Crossover,Gasoline,,,,N/A,,2024-11-16 19:06:50,1,https://www.cargurus.com/Cars/m-GoAuto-sp411151#listing=393322620/NONE/DEFAULT,0,,29 MPG,N/A,Front-Wheel Drive,No Rating,55,N/A
CG-241000,GoAuto,3462302835,Sunroof/Moonroof · Alloy Wheels · & more,"1502 W 34th St
Houston, TX 77018 Map & directions
https://www.GOAUTOTX.COM
Sales: (346) 230-2835",Houston,TX,,77018,https://www.cargurus.com/Cars/m-GoAuto-sp411151#listing=398668559/NONE/DEFAULT,https://static.cargurus.com/images/forsale/2024/10/16/00/44/2018_infiniti_q60-pic-7054052029274034729-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,uploads/single_image/2018_INFINITI_Q60_3.0t_Luxe_Coupe_RWD_JN1EV7EK4JM341117_341117.jpg,2018 INFINITI Q60 3.0t Luxe Coupe RWD,2018,INFINITI,Q60,JN1EV7EK4JM341117,17500,60367 mi,Used,,3.0t Luxe Coupe RWD,341117,300 hp 3L V6,7-Speed Automatic,Coupe,Gasoline,,,,N/A,,2024-11-16 19:07:02,1,https://www.cargurus.com/Cars/m-GoAuto-sp411151#listing=398668559/NONE/DEFAULT,0,,23 MPG,N/A,Rear-Wheel Drive,No Rating,55,N/A
CG-241000,GoAuto,3462302835,Adaptive Cruise Control · Steel Wheels · & more,"1502 W 34th St
Houston, TX 77018 Map & directions
https://www.GOAUTOTX.COM
Sales: (346) 230-2835",Houston,TX,,77018,https://www.cargurus.com/Cars/m-GoAuto-sp411151#listing=400484575/NONE/DEFAULT,https://static.cargurus.com/images/forsale/2024/11/06/13/55/2019_toyota_corolla-pic-9157394410660351533-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,uploads/single_image/2019_Toyota_Corolla_L_5YFBURHE7KP865610_865610.jpg,2019 Toyota Corolla L,2019,Toyota,Corolla,5YFBURHE7KP865610,No Price Listed,37558 mi,Used,,L,865610,132 hp 1.8L I4,Continuously Variable Transmission,Sedan,Gasoline,,,,N/A,,2024-11-16 19:07:14,1,https://www.cargurus.com/Cars/m-GoAuto-sp411151#listing=400484575/NONE/DEFAULT,0,,31 MPG,N/A,Front-Wheel Drive,No Rating,55,New arrival
CG-241000,GoAuto,3462302835,Power Package · Alloy Wheels · & more,"1502 W 34th St
Houston, TX 77018 Map & directions
https://www.GOAUTOTX.COM
Sales: (346) 230-2835",Houston,TX,,77018,https://www.cargurus.com/Cars/m-GoAuto-sp411151#listing=397027101/NONE/DEFAULT,https://static.cargurus.com/images/forsale/2024/09/27/00/39/2023_chevrolet_traverse-pic-1055319754454359839-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,uploads/single_image/2023_Chevrolet_Traverse_LT_Cloth_AWD_1GNEVGKW4PJ139139_1391.jpg,2023 Chevrolet Traverse LT Cloth AWD,2023,Chevrolet,Traverse,1GNEVGKW4PJ139139,19500,29182 mi,Used,,LT Cloth AWD,1391,310 hp 3.6L V6,9-Speed Automatic,SUV / Crossover,Gasoline,,,,N/A,,2024-11-16 19:07:27,1,https://www.cargurus.com/Cars/m-GoAuto-sp411151#listing=397027101/NONE/DEFAULT,0,,21 MPG,N/A,Four-Wheel Drive,No Rating,55,N/A
CG-241000,GoAuto,3462302835,Leather Seats · Navigation System · & more,"1502 W 34th St
Houston, TX 77018 Map & directions
https://www.GOAUTOTX.COM
Sales: (346) 230-2835",Houston,TX,,77018,https://www.cargurus.com/Cars/m-GoAuto-sp411151#listing=400484576/NONE/DEFAULT,https://static.cargurus.com/images/forsale/2024/11/06/14/34/2019_jeep_grand_cherokee-pic-2977740666097152187-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,uploads/single_image/2019_Jeep_Grand_Cherokee_Limited_4WD_1C4RJFBGXKC608160_608160.jpg,2019 Jeep Grand Cherokee Limited 4WD,2019,Jeep,Grand Cherokee,1C4RJFBGXKC608160,No Price Listed,30376 mi,Used,,Limited 4WD,608160,295 hp 3.6L V6,8-Speed Automatic,SUV / Crossover,Gasoline,,,,N/A,,2024-11-16 19:07:39,1,https://www.cargurus.com/Cars/m-GoAuto-sp411151#listing=400484576/NONE/DEFAULT,0,,21 MPG,N/A,Four-Wheel Drive,No Rating,55,New arrival
